St	Category	4/80cen	7/81	7/82	7/83	7/84	7/85	7/86	7/87	7/88	7/89
OH	%CHANGE	-0.09	-0.29	-0.18	0	-0.03	-0.04	0.28	0.36	0.28	0.17
OH	BIRTHS	208730	166374	162726	156896	160319	159686	158003	158804	161365	125288
OH	DEATHS	121793	95251	96206	97589	98365	99289	99219	100876	99705	75104
OH	RESIDUAL	-96236	-102366	-85974	-59192	-64774	-65054	-28962	-19465	-30995	-32286
OK	POPULATION	3025290	3096164	3206123	3290402	3285533	3271332	3252735	3210122	3167057	3150307
OK	CHANGE	70874	109959	84279	-4869	-14201	-18596	-42613	-43065	-16750	-4722
OK	%CHANGE	2.34	3.55	2.63	-0.15	-0.43	-0.57	-1.31	-1.34	-0.53	-0.15
OK	BIRTHS	65447	56381	58177	55041	54026	51984	49154	47395	46949	36042
OK	DEATHS	35398	28845	29409	29151	29356	29747	29395	29813	29785	22589
OK	RESIDUAL	40824	82423	55511	-30759	-38871	-40833	-62372	-60647	-33914	-18174
OR	POPULATION	2633105	2667982	2664922	2653066	2666588	2672652	2683528	2700991	2741297	2790575
OR	CHANGE	34877	-3060	-11856	13522	6065	10875	17463	40307	49277	51746
OR	%CHANGE	1.32	-0.11	-0.44	0.51	0.23	0.41	0.65	1.49	1.8	1.85
OR	BIRTHS	53469	42160	40770	39330	39713	39259	38783	39182	40367	31542
OR	DEATHS	27180	21657	22045	22841	23603	23600	23717	24631	24754	18903
OR	RESIDUAL	8588	-23562	-30581	-2967	-10045	-4783	2397	25755	33664	39107
PA	POPULATION	11863895	11858567	11845146	11837723	11815172	11770862	11782752	11810866	11845752	11865996
PA	CHANGE	-5328	-13421	-7423	-22551	-44310	11891	28114	34885	20244	15647
PA	%CHANGE	-0.04	-0.11	-0.06	-0.19	-0.38	0.1	0.24	0.3	0.17	0.13
PA	BIRTHS	197847	161508	160811	155728	159310	160658	161456	163482	165938	128564
PA	DEATHS	152048	118778	120094	121813	123065	123648	124171	126559	124811	94203
PA	RESIDUAL	-51126	-56151	-48140	-56466	-80555	-25119	-9171	-2037	-20882	-18713
RI	POPULATION	947154	953013	954170	956382	961894	968955	977341	989604	996408	1000666
RI	CHANGE	5859	1157	2211	5512	7061	8386	12263	6805	4258	2798
RI	%CHANGE	0.62	0.12	0.23	0.58	0.73	0.87	1.25	0.69	0.43	0.28
RI	BIRTHS	15243	12512	12622	12488	12892	13198	13691	14088	14121	10841
RI	DEATHS	11529	9040	9159	9399	9588	9684	9691	9821	9780	7453
RI	RESIDUAL	2144	-2314	-1251	2423	3756	4871	8263	2537	-83	-590
SC	POPULATION	3121820	3179255	3207614	3234066	3271868	3303209	3342758	3380506	3412096	3456775
SC	CHANGE	57435	28359	26452	37803	31341	39549	37748	31590	44678	29928
SC	%CHANGE	1.84	0.89	0.82	1.17	0.96	1.2	1.13	0.93	1.31	0.87
SC	BIRTHS	64398	51850	51497	50138	51494	51942	52287	53843	55937	43762
SC	DEATHS	31517	25192	25677	26373	26882	27628	28252	29243	29651	22645
SC	RESIDUAL	24554	1700	631	14037	6729	15234	13713	6990	18392	8811
SD	POPULATION	690768	689584	690597	693008	697249	698402	696034	696036	698165	696701
SD	CHANGE	-1184	1014	2410	4241	1153	-2367	2	2129	-1464	-697
SD	%CHANGE	-0.17	0.15	0.35	0.61	0.17	-0.34	0	0.31	-0.21	-0.1
SD	BIRTHS	16202	12832	12768	12350	12350	11911	11562	11311	11077	8478
SD	DEATHS	8110	6499	6626	6599	6599	6601	6608	6689	6588	5012
SD	RESIDUAL	-9276	-5319	-3731	-1509	-4598	-7677	-4952	-2492	-5953	-4163
TN	POPULATION	4591120	4627658	4646041	4659749	4686737	4715296	4738708	4782927	4822437	4854444
TN	CHANGE	36538	18383	13708	26989	28559	23412	44219	39510	32008	22741
TN	%CHANGE	0.8	0.4	0.3	0.58	0.61	0.5	0.93	0.83	0.66	0.47
TN	BIRTHS	84819	67330	66740	64546	66214	66691	67143	69195	71615	55920
TN	DEATHS	50707	40298	41067	42126	42964	43756	44490	45795	45805	34759
TN	RESIDUAL	2425	-8648	-11965	4568	5308	476	21565	16109	6197	1579
TX	POPULATION	14229191	14746318	15331415	15751676	16007086	16272734	16561113	16621791	16667022	16806735
TX	CHANGE	517127	585098	420261	255410	265648	288379	60678	45231	139713	179775
TX	%CHANGE	3.63	3.97	2.74	1.62	1.66	1.77	0.37	0.27	0.84	1.07
TX	BIRTHS	343694	290669	298391	294121	305037	308414	304636	302063	304144	235234
TX	DEATHS	136081	110681	113330	116291	118182	118531	118991	122565	124344	95410
TX	RESIDUAL	309513	405109	235199	77579	78792	98496	-124966	-134267	-40086	39951
UT	POPULATION	1461037	1515471	1558314	1594943	1622342	1642910	1662834	1678119	1689372	1705864
UT	CHANGE	54434	42843	36628	27399	20568	19924	15285	11253	16492	16986
UT	%CHANGE	3.73	2.83	2.35	1.72	1.27	1.21	0.92	0.67	0.98	1
UT	BIRTHS	51658	41572	40773	38459	38095	37032	35862	35595	35643	27233
UT	DEATHS	10195	8367	8519	8756	9048	8974	8956	9221	9277	7100
UT	RESIDUAL	12971	9638	4374	-2304	-8478	-8134	-11620	-15120	-9874	-3146
VT	POPULATION	511456	515594	519109	523302	526660	530035	534066	540267	549763	557707
VT	CHANGE	4138	3515	4193	3358	3375	4031	6201	9496	7944	5051
VT	%CHANGE	0.81	0.68	0.81	0.64	0.64	0.76	1.16	1.76	1.45	0.91
VT	BIRTHS	9824	8022	8044	7865	8028	8086	8110	8100	8272	6498
VT	DEATHS	5600	4398	4542	4566	4611	4713	4757	4768	4646	3511
VT	RESIDUAL	-85	-108	691	58	-42	658	2847	6163	4318	2064
VA	POPULATION	5346818	5444097	5492783	5564657	5643870	5715153	5811700	5932268	6036909	6120246
VA	CHANGE	97279	48686	71874	79213	71283	96548	120567	104641	83337	67112
VA	%CHANGE	1.82	0.89	1.31	1.42	1.26	1.69	2.07	1.76	1.38	1.1
VA	BIRTHS	97838	80488	81486	80930	84679	86703	88782	91423	94305	73788
VA	DEATHS	52901	41973	42953	44214	45019	45905	46473	47602	47592	36082
VA	RESIDUAL	52342	10170	33341	42496	31623	55749	78258	60820	36623	29406
WA	POPULATION	4132156	4235731	4276552	4300266	4343656	4400098	4452720	4531901	4639893	4746316
WA	CHANGE	103575	40821	23714	43390	56442	52622	79180	107992	106423	120376
WA	%CHANGE	2.51	0.96	0.55	1.01	1.3	1.2	1.78	2.38	2.29	2.54
WA	BIRTHS	85235	69906	69592	68144	69978	70040	69930	71281	73592	57594
WA	DEATHS	39966	32109	32569	33371	34339	34355	34511	36020	36377	27614
WA	RESIDUAL	58305	3024	-13309	8616	20803	16937	43761	72731	69207	90396
WV	POPULATION	1949644	1954124	1949604	1945061	1927697	1906831	1882350	1857585	1830215	1806568
WV	CHANGE	4480	-4520	-4542	-17364	-20866	-24481	-24765	-27371	-23647	-13091
WV	%CHANGE	0.23	-0.23	-0.23	-0.89	-1.08	-1.28	-1.32	-1.47	-1.29	-0.72
WV	BIRTHS	35758	27650	26761	24942	24483	23723	22826	22097	21849	16895
WV	DEATHS	23871	18974	19193	19333	19424	19661	19778	19995	19764	14968
WV	RESIDUAL	-7407	-13196	-12110	-22973	-25924	-28543	-27812	-29472	-25732	-15017
WI	POPULATION	4705767	4726343	4728870	4721438	4735563	4747767	4755618	4777919	4822388	4856574
WI	CHANGE	20576	2527	-7432	14124	12204	7851	22301	44469	34187	35195
WI	%CHANGE	0.44	0.05	-0.16	0.3	0.26	0.17	0.47	0.93	0.71	0.72
WI	BIRTHS	92640	74605	73923	72042	73766	73162	71622	70682	70987	55007
WI	DEATHS	50776	40284	40731	41177	41462	41780	41980	43001	42874	32414
WI	RESIDUAL	-21288	-31793	-40623	-16740	-20099	-23530	-7340	16787	6073	12601
WY	POPULATION	469557	491712	506400	510345	504896	499695	495633	476965	465101	458374
WY	CHANGE	22155	14689	3945	-5449	-5202	-4062	-18668	-11864	-6726	-4786
WY	%CHANGE	4.72	2.99	0.78	-1.07	-1.03	-0.81	-3.77	-2.49	-1.45	-1.04
WY	BIRTHS	13244	10986	10728	9898	9615	9026	8076	7316	6988	5288
WY	DEATHS	3988	3167	3179	3183	3252	3255	3111	3168	3265	2491
WY	RESIDUAL	12898	6869	-3604	-12163	-11564	-9832	-23633	-16012	-10449	-7583
